ID,Traditional,Source,Start,End,Transcribed,OK
B1L01-2-01,什麼,B1-01-2-2.mp3,5.0,6.33,什麼,1
B1L01-2-02,名字,B1-01-2-2.mp3,9.27,10.56,名字,1
B1L01-2-03,姓名,B1-01-2-2.mp3,17.23,18.85,姓名,1
B1L01-2-04,呢,B1-01-2-2.mp3,22.06,22.9,呢,1
B1L01-2-05,印尼,B1-01-2-2.mp3,30.85,32.25,印尼,1
B1L01-2-06,喜歡,B1-01-2-2.mp3,35.44,37.12,喜歡,1
B1L01-2-07,你好/妳好,B1-01-2-2.mp3,49.33,50.9,你好,1
B1L01-2-08,好,B1-01-2-2.mp3,51.88,53.21,好,1
B1L01-2-09,請問,B1-01-2-2.mp3,61.92,63.38,請問,1
B1L01-3-01,大家,B1-01-3-2.mp3,5.83,7.27,大家,1
B1L01-3-02,朋友,B1-01-3-2.mp3,17.06,18.79,朋友,1
B1L01-3-03,愛,B1-01-3-2.mp3,22.05,23.26,愛,1
B1L01-3-04,吃,B1-01-3-2.mp3,29.95,31.22,吃,1
B1L01-3-05,水果,B1-01-3-2.mp3,34.76,36.65,水果,1
B1L01-3-06,水,B1-01-3-2.mp3,41.98,43.5,水,1
B1L01-3-07,喝,B1-01-3-2.mp3,46.72,48.12,喝,1
B1L01-3-08,茶,B1-01-3-2.mp3,51.72,53.03,茶,1
B1L01-3-09,謝謝,B1-01-3-2.mp3,60.63,62.13,謝謝,1
B1L01-3-10,不客氣,B1-01-3-2.mp3,63.16,64.87,不客氣,1
B1L01-3-11,珍珠奶茶,B1-01-3-2.mp3,76.04,78.54,珍珠奶茶,1
B1L01-3-12,奶茶,B1-01-3-2.mp3,79.52,81.21,奶茶,1
B1L01-3-13,自我介紹,B1-01-3-2.mp3,86.52,88.83,自我介紹,1
B1L01-3-14,早安,B1-01-3-2.mp3,91.91,94.08,早安,1
B1L01-3-15,午安,B1-01-3-2.mp3,94.02,96.58,午安,2
B1L01-3-16,晚安,B1-01-3-2.mp3,96.42,98.69,晚安,2
B1L02-1-01,幾,B1-02-1-2.mp3,6.14,7.43,幾,1
B1L02-1-02,點,B1-02-1-2.mp3,10.72,12.07,點,1
B1L02-1-03,點鐘,B1-02-1-2.mp3,13.09,14.8,點鐘,1
B1L02-1-04,現在,B1-02-1-2.mp3,15.94,17.59,現在,1
B1L02-1-05,去,B1-02-1-2.mp3,25.21,26.5,去,2
B1L02-1-06,學校,B1-02-1-2.mp3,29.82,31.45,學校,1
B1L02-1-07,媽媽,B1-02-1-2.mp3,39.52,40.92,媽媽,2
B1L02-1-08,爸爸,B1-02-1-2.mp3,41.96,43.33,爸爸,3
B1L02-1-09,孩子,B1-02-1-2.mp3,44.4,45.96,孩子,3
B1L02-1-10,今天,B1-02-1-2.mp3,49.02,50.81,今天,3
B1L02-1-11,星期,B1-02-1-2.mp3,54.26,56.05,星期,1
B1L02-1-12,月,B1-02-1-2.mp3,57.21,58.4,月,1
B1L02-1-13,號,B1-02-1-2.mp3,59.48,60.73,,4
B1L02-1-14,日,B1-02-1-2.mp3,61.77,62.96,,4
B1L02-1-15,星期天,B1-02-1-2.mp3,71.1,73.35,星期天,3
B1L02-1-16,早上,B1-02-1-2.mp3,76.67,78.25,早上,3
B1L02-1-17,有,B1-02-1-2.mp3,81.69,83.21,有,2
B1L02-1-18,沒,B1-02-1-2.mp3,86.58,88.04,沒,2
B1L02-1-19,課,B1-02-1-2.mp3,91.56,92.79,課,3
B1L02-1-20,圖書館,B1-02-1-2.mp3,104.9,106.92,圖書館,3
B1L02-1-21,中午,B1-02-1-2.mp3,114.62,116.34,中午,1
B1L02-1-22,回,B1-02-1-2.mp3,119.92,121.32,回,1
B1L02-1-23,家,B1-02-1-2.mp3,124.92,126.13,家,1
B1L02-1-24,家人,B1-02-1-2.mp3,127.28,128.86,家人,1
B1L02-1-25,下午,B1-02-1-2.mp3,135.98,137.69,下午,1
B1L02-1-26,上午,B1-02-1-2.mp3,138.74,140.56,上午,1
B1L02-1-27,下課,B1-02-1-2.mp3,144.11,145.59,下課,1
B1L02-1-28,上課,B1-02-1-2.mp3,146.67,148.19,上課,1
B1L02-1-29,分,B1-02-1-2.mp3,151.79,153.15,分,1
B1L02-1-30,幾點,B1-02-1-2.mp3,163.2,164.89,幾點,1
B1L02-1-31,幾點鐘,B1-02-1-2.mp3,165.97,167.93,幾點鐘,1
B1L02-2-01,明天,B1-02-2-2.mp3,7.21,8.79,明天,1
B1L02-2-02,昨天,B1-02-2-2.mp3,9.79,11.33,昨天,1
B1L02-2-03,週末,B1-02-2-2.mp3,18.68,20.04,週末,1
B1L02-2-04,要,B1-02-2-2.mp3,23.21,24.29,要,1
B1L02-2-05,來,B1-02-2-2.mp3,35.08,36.33,來,1
B1L02-2-06,啊,B1-02-2-2.mp3,43.97,44.91,啊,1
B1L02-2-07,的,B1-02-2-2.mp3,48.1,48.89,的,1
B1L02-2-08,生日,B1-02-2-2.mp3,52.14,53.68,生日,1
B1L02-2-09,快樂,B1-02-2-2.mp3,56.73,58.19,快樂,2
B1L02-2-10,晚上,B1-02-2-2.mp3,70.55,71.91,晚上,1
B1L02-2-11,問題,B1-02-2-2.mp3,75.34,76.91,問題,1
B1L02-2-12,沒問題,B1-02-2-2.mp3,91.13,92.99,沒問題,1
B1L02-2-13,明天見,B1-02-2-2.mp3,96.15,97.88,明天見,1
B1L02-2-14,再見,B1-02-2-2.mp3,98.86,100.24,再見,1
B1L02-3-01,做,B1-02-3-2.mp3,5.1,6.08,做,1
B1L02-3-02,歲,B1-02-3-2.mp3,13.06,14.23,歲,1
B1L02-3-03,起床,B1-02-3-2.mp3,25.15,26.75,起床,1
B1L02-3-04,午飯,B1-02-3-2.mp3,34.44,35.81,午飯,1
B1L02-3-05,早飯,B1-02-3-2.mp3,36.85,38.25,早飯,1
B1L02-3-06,晚飯,B1-02-3-2.mp3,39.27,40.79,晚飯,1
B1L02-3-07,飯,B1-02-3-2.mp3,41.79,42.9,飯,3
B1L02-3-08,做飯,B1-02-3-2.mp3,46.1,47.5,做飯,2
B1L02-3-09,睡覺,B1-02-3-2.mp3,54.56,56.06,睡覺,1
B1L02-3-10,忙,B1-02-3-2.mp3,64.12,65.42,忙,3
B1L02-3-11,累,B1-02-3-2.mp3,69.71,70.83,累,3
B1L03-1-01,買,B1-03-1-2.mp3,6.0,7.33,買,1
B1L03-1-02,禮物,B1-03-1-2.mp3,14.54,16.0,禮物,1
B1L03-1-03,想（要）,B1-03-1-2.mp3,22.48,24.41,想要,1
B1L03-1-04,送,B1-03-1-2.mp3,34.35,35.62,送,1
B1L03-1-05,個,B1-03-1-2.mp3,47.04,47.87,個,1
B1L03-1-06,看,B1-03-1-2.mp3,55.75,56.79,看,1
B1L03-1-07,書,B1-03-1-2.mp3,59.99,61.29,書,1
B1L03-1-08,兩,B1-03-1-2.mp3,68.62,70.04,兩,3
B1L03-1-09,本,B1-03-1-2.mp3,73.48,74.9,本,3
B1L03-1-10,中文,B1-03-1-2.mp3,78.42,80.06,中文,3
B1L03-1-11,英文,B1-03-1-2.mp3,81.1,82.75,英文,3
B1L03-1-12,一些,B1-03-1-2.mp3,94.58,96.01,一些,1
B1L03-1-13,花,B1-03-1-2.mp3,103.66,104.85,花,1
B1L03-1-14,朵,B1-03-1-2.mp3,105.91,107.24,朵,1
B1L03-1-15,和,B1-03-1-2.mp3,114.97,116.3,和,1
B1L03-1-16,大,B1-03-1-2.mp3,132.12,133.14,大,1
B1L03-1-17,小,B1-03-1-2.mp3,134.14,135.53,小,1
B1L03-1-18,蛋糕,B1-03-1-2.mp3,139.37,140.89,蛋糕,1
B1L03-1-19,蛋,B1-03-1-2.mp3,149.59,150.78,蛋,1
B1L03-1-20,一起,B1-03-1-2.mp3,157.74,159.39,一起,1
B1L03-1-21,啊,B1-03-1-2.mp3,168.34,169.55,啊,1
B1L03-2-01,這,B1-03-2-2.mp3,5.85,6.93,這,1
B1L03-2-02,那,B1-03-2-2.mp3,10.11,11.28,那,1
B1L03-2-03,種,B1-03-2-2.mp3,23.95,25.31,種,1
B1L03-2-04,鉛筆,B1-03-2-2.mp3,33.22,34.95,鉛筆,1
B1L03-2-05,筆,B1-03-2-2.mp3,35.98,37.16,筆,1
B1L03-2-06,怎麼樣,B1-03-2-2.mp3,47.12,49.02,怎麼樣,2
B1L03-2-07,東西,B1-03-2-2.mp3,57.97,59.28,東西,1
B1L03-2-08,枝,B1-03-2-2.mp3,66.66,67.78,枝,1
B1L03-2-09,塊,B1-03-2-2.mp3,75.16,76.3,快,1
B1L03-2-10,錢,B1-03-2-2.mp3,79.62,81.01,錢,1
B1L03-2-11,元,B1-03-2-2.mp3,86.43,87.72,元,1
B1L03-2-12,便宜,B1-03-2-2.mp3,95.68,97.27,便宜,1
B1L03-2-13,貴,B1-03-2-2.mp3,98.27,99.31,貴,1
B1L03-2-14,顏色,B1-03-2-2.mp3,112.4,113.81,顏色,1
B1L03-2-15,紅色,B1-03-2-2.mp3,121.25,122.69,紅色,1
B1L03-2-16,紅,B1-03-2-2.mp3,123.71,125.04,紅,1
B1L03-2-17,白色,B1-03-2-2.mp3,128.62,129.98,白色,1
B1L03-2-18,白,B1-03-2-2.mp3,131.04,132.15,白,3
B1L03-2-19,都,B1-03-2-2.mp3,143.55,144.59,都,1
B1L03-2-20,好看,B1-03-2-2.mp3,156.3,157.8,好看,1
B1L03-2-21,常（常）,B1-03-2-2.mp3,170.0,171.63,常常,1
B1L03-2-22,穿,B1-03-2-2.mp3,180.32,181.53,穿,1
B1L03-2-23,衣服,B1-03-2-2.mp3,185.0,186.28,衣服,1
B1L03-2-24,件,B1-03-2-2.mp3,187.32,188.36,件,1
B1L03-3-01,請,B1-03-3-2.mp3,4.97,6.45,請,1
B1L03-3-02,玩,B1-03-3-2.mp3,18.78,20.07,玩,1
B1L03-3-03,這些,B1-03-3-2.mp3,29.46,30.92,這些,1
B1L03-3-04,那些,B1-03-3-2.mp3,34.44,35.96,那些,1
B1L03-3-05,點心,B1-03-3-2.mp3,49.27,50.75,點心,1
B1L03-3-06,甜點,B1-03-3-2.mp3,51.77,53.56,甜點,1
B1L03-3-07,甜,B1-03-3-2.mp3,54.69,56.1,甜,1
B1L03-3-08,開心,B1-03-3-2.mp3,64.49,66.03,開心,1
B1L04-1-01,咖啡,B1-04-1-2.mp3,4.96,6.48,咖啡,1
B1L04-1-02,還是,B1-04-1-2.mp3,9.5,11.0,還是,1
B1L04-1-03,天氣,B1-04-1-2.mp3,21.19,22.71,天氣,1
B1L04-1-04,好,B1-04-1-2.mp3,25.88,27.25,好,1
B1L04-1-05,熱,B1-04-1-2.mp3,30.6,31.75,熱,1
B1L04-1-06,冷,B1-04-1-2.mp3,32.83,34.23,冷,1
B1L04-1-07,飲料,B1-04-1-2.mp3,41.94,43.48,飲料,1
B1L04-1-08,也,B1-04-1-2.mp3,46.69,48.17,也,1
B1L04-1-09,餓,B1-04-1-2.mp3,56.65,57.75,餓,3
B1L04-1-10,渴,B1-04-1-2.mp3,58.77,60.23,渴,1
B1L04-1-11,（一）點（兒）,B1-04-1-2.mp3,69.4,76.79,一點兒 一點 點兒 點,4
B1L04-1-12,餐廳/飯館,B1-04-1-2.mp3,83.9,85.48,餐廳,1
B1L04-1-13,家,B1-04-1-2.mp3,89.19,90.35,家,1
B1L04-1-14,太,B1-04-1-2.mp3,97.98,99.17,太,1
B1L04-1-15,多,B1-04-1-2.mp3,108.65,109.79,多,1
B1L04-1-16,少,B1-04-1-2.mp3,110.81,112.29,少,1
B1L04-1-17,麵,B1-04-1-2.mp3,122.48,123.6,麵,1
B1L04-1-18,好吃,B1-04-1-2.mp3,135.42,137.08,好吃,1
B1L04-1-19,好喝,B1-04-1-2.mp3,143.42,145.0,好喝,1
B1L04-1-20,了,B1-04-1-2.mp3,153.02,153.94,了,1
B1L04-1-21,最,B1-04-1-2.mp3,162.73,163.9,最,1
B1L04-1-22,賣,B1-04-1-2.mp3,175.44,176.58,賣,1
B1L04-1-23,牛肉麵,B1-04-1-2.mp3,186.27,188.08,牛肉麵,3
B1L04-2-01,點,B1-04-2-2.mp3,5.31,6.6,點,1
B1L04-2-02,碗,B1-04-2-2.mp3,9.75,11.08,碗,1
B1L04-2-03,杯,B1-04-2-2.mp3,22.19,23.35,杯,1
B1L04-2-04,杯子,B1-04-2-2.mp3,24.33,25.62,杯子,1
B1L04-2-05,瓶子,B1-04-2-2.mp3,31.38,32.79,瓶子,1
B1L04-2-06,瓶,B1-04-2-2.mp3,33.85,35.21,瓶,1
B1L04-2-07,女,B1-04-2-2.mp3,47.4,48.73,女,1
B1L04-2-08,男,B1-04-2-2.mp3,49.77,51.1,男,1
B1L04-2-09,位,B1-04-2-2.mp3,61.54,62.69,位,1
B1L04-2-10,紅茶,B1-04-2-2.mp3,73.31,75.06,紅茶,1
B1L04-2-11,綠茶,B1-04-2-2.mp3,78.33,79.9,綠茶,1
B1L04-2-12,綠色,B1-04-2-2.mp3,80.94,82.4,綠色,1
B1L04-2-13,請,B1-04-2-2.mp3,87.67,89.1,請,1
B1L04-2-14,給,B1-04-2-2.mp3,92.4,93.77,給,1
B1L04-2-15,一共,B1-04-2-2.mp3,101.62,103.06,一共,1
B1L04-2-16,多少,B1-04-2-2.mp3,106.42,107.98,多少,1
B1L04-2-17,百,B1-04-2-2.mp3,116.98,118.25,百,1
B1L04-2-18,千,B1-04-2-2.mp3,119.25,120.48,千,3
B1L04-2-19,萬,B1-04-2-2.mp3,121.5,122.69,萬,3
B1L04-2-20,零,B1-04-2-2.mp3,123.67,124.94,零,1
B1L04-2-21,找錢,B1-04-2-2.mp3,135.52,137.25,找錢,1
B1L04-2-22,您,B1-04-2-2.mp3,144.56,145.79,您,1
B1L04-2-23,多,B1-04-2-2.mp3,149.35,150.6,多,1
B1L04-3-01,夏天,B1-04-3-2.mp3,5.16,6.89,夏天,1
B1L04-3-02,春天,B1-04-3-2.mp3,7.87,9.62,春天,1
B1L04-3-03,秋天,B1-04-3-2.mp3,10.63,12.38,秋天,1
B1L04-3-04,冬天,B1-04-3-2.mp3,13.44,15.17,冬天,1
B1L04-3-05,店/商店,B1-04-3-2.mp3,25.61,26.71,店,1
B1L04-3-06,果汁,B1-04-3-2.mp3,37.25,38.83,果汁,1
B1L04-3-07,牛奶,B1-04-3-2.mp3,42.04,43.79,牛奶,1
B1L04-3-08,有的,B1-04-3-2.mp3,52.14,53.41,有的,1
B1L04-3-09,每,B1-04-3-2.mp3,68.79,70.17,每,1
B1L04-3-10,天,B1-04-3-2.mp3,78.38,79.65,天,1
B1L05-1-01,錢包,B1-05-1-2.mp3,4.75,6.42,錢包,2
B1L05-1-02,在,B1-05-1-2.mp3,14.08,15.1,在,1
B1L05-1-03,哪裡/哪兒,B1-05-1-2.mp3,26.77,28.19,哪裡,1
B1L05-1-04,聽,B1-05-1-2.mp3,37.54,38.77,聽,3
B1L05-1-05,音樂,B1-05-1-2.mp3,41.75,43.21,音樂,3
B1L05-1-06,下午茶,B1-05-1-2.mp3,49.5,51.48,下午茶,3
B1L05-1-07,不錯,B1-05-1-2.mp3,53.92,55.31,不錯,3
B1L05-1-08,咖啡廳,B1-05-1-2.mp3,61.9,63.69,咖啡廳,1
B1L05-1-09,那裡/那兒,B1-05-1-2.mp3,71.27,72.85,那裡,3
B1L05-1-10,這裡/這兒,B1-05-1-2.mp3,84.54,86.08,這裡,1
B1L05-1-11,冰淇淋,B1-05-1-2.mp3,97.35,99.06,冰淇淋,3
B1L05-1-12,巧克力,B1-05-1-2.mp3,108.15,109.9,巧克力,3
B1L05-1-13,半,B1-05-1-2.mp3,118.79,119.75,半,3
B1L05-1-14,吧,B1-05-1-2.mp3,126.54,127.38,吧,3
B1L05-1-15,有空,B1-05-1-2.mp3,136.1,137.65,有空,3
B1L05-1-16,沒（有）空,B1-05-1-2.mp3,138.19,140.06,沒有空,3
B1L05-2-01,跟,B1-05-2-2.mp3,4.83,5.88,跟,1
B1L05-2-02,可是,B1-05-2-2.mp3,15.48,16.92,可是,1
B1L05-2-03,房間,B1-05-2-2.mp3,26.56,28.23,房間,1
B1L05-2-04,間,B1-05-2-2.mp3,29.23,30.35,間,1
B1L05-2-05,房子,B1-05-2-2.mp3,35.67,37.04,房子,1
B1L05-2-06,棟,B1-05-2-2.mp3,38.02,39.06,棟,1
B1L05-2-07,裡（面）,B1-05-2-2.mp3,47.92,49.42,裡面,1
B1L05-2-08,外（面）,B1-05-2-2.mp3,56.94,58.33,外面,1
B1L05-2-09,客廳,B1-05-2-2.mp3,67.85,69.31,客廳,1
B1L05-2-10,桌子,B1-05-2-2.mp3,76.75,78.0,桌子,1
B1L05-2-11,椅子,B1-05-2-2.mp3,79.02,80.33,椅子,1
B1L05-2-12,張,B1-05-2-2.mp3,81.33,82.46,張,1
B1L05-2-13,上（面）,B1-05-2-2.mp3,92.0,93.52,上面,1
B1L05-2-14,有,B1-05-2-2.mp3,103.31,104.71,有,1
B1L05-2-15,哥哥,B1-05-2-2.mp3,112.77,114.04,哥哥,1
B1L05-2-16,姐姐/姊姊,B1-05-2-2.mp3,115.04,116.44,姐姐,1
B1L05-2-17,弟弟,B1-05-2-2.mp3,117.46,118.73,弟弟,1
B1L05-2-18,妹妹,B1-05-2-2.mp3,119.75,121.06,妹妹,1
B1L05-2-19,沙發,B1-05-2-2.mp3,130.75,132.29,沙發,1
B1L05-2-20,下（面）,B1-05-2-2.mp3,141.0,142.5,下面,1
B1L05-2-21,旁邊,B1-05-2-2.mp3,153.44,154.92,旁邊,1
B1L05-2-22,前（面）,B1-05-2-2.mp3,156.02,157.58,前面,1
B1L05-2-23,後（面）,B1-05-2-2.mp3,161.02,162.44,後面,1
B1L05-2-24,幫,B1-05-2-2.mp3,177.94,179.08,幫,1
B1L05-2-25,找,B1-05-2-2.mp3,188.77,190.08,找,1
B1L05-2-26,廚房,B1-05-2-2.mp3,200.31,201.98,廚房,1
B1L05-2-27,再,B1-05-2-2.mp3,213.12,214.29,再,1
B1L05-3-01,床,B1-05-3-2.mp3,6.54,7.87,床,1
B1L05-3-02,家具,B1-05-3-2.mp3,13.78,15.21,家具,1
B1L05-3-03,電視（機）,B1-05-3-2.mp3,23.64,25.43,電視機,1
B1L05-3-04,台,B1-05-3-2.mp3,28.56,30.04,台,1
B1L05-3-05,窗戶,B1-05-3-2.mp3,36.8,38.34,窗戶,1
B1L05-3-06,門,B1-05-3-2.mp3,45.4,46.67,門,1
B1L05-3-07,貓,B1-05-3-2.mp3,53.71,54.83,貓,1
B1L05-3-08,狗,B1-05-3-2.mp3,55.96,57.23,狗,1
B1L05-3-09,鳥,B1-05-3-2.mp3,58.25,59.59,鳥,1
B1L05-3-10,隻,B1-05-3-2.mp3,60.62,61.78,隻,1
B1L05-3-11,曬太陽/晒太陽,B1-05-3-2.mp3,75.44,77.39,曬太陽,1
B1L05-3-12,太陽,B1-05-3-2.mp3,84.39,86.06,太陽,1
B1L06-1-01,打,B1-06-1-2.mp3,4.58,5.73,打,1
B1L06-1-02,網球,B1-06-1-2.mp3,8.54,10.21,網球,1
B1L06-1-03,球,B1-06-1-2.mp3,11.08,12.4,球,2
B1L06-1-04,籃球,B1-06-1-2.mp3,20.25,21.94,籃球,2
B1L06-1-05,棒球,B1-06-1-2.mp3,28.65,30.12,棒球,2
B1L06-1-06,足球,B1-06-1-2.mp3,39.0,40.52,足球,1
B1L06-1-07,踢,B1-06-1-2.mp3,41.38,42.46,踢,1
B1L06-1-08,海邊,B1-06-1-2.mp3,50.42,51.96,海邊,1
B1L06-1-09,海,B1-06-1-2.mp3,60.12,61.44,海,1
B1L06-1-10,山,B1-06-1-2.mp3,68.94,70.19,山,1
B1L06-1-11,風景,B1-06-1-2.mp3,72.9,74.6,風景,1
B1L06-1-12,游泳,B1-06-1-2.mp3,84.75,86.23,游泳,1
B1L06-1-13,會,B1-06-1-2.mp3,96.25,97.31,會,1
B1L06-1-14,得,B1-06-1-2.mp3,105.25,106.0,得,1
B1L06-1-15,跑步,B1-06-1-2.mp3,114.79,116.25,跑步,1
B1L06-1-16,跑,B1-06-1-2.mp3,124.75,126.12,跑,1
B1L06-1-17,慢,B1-06-1-2.mp3,129.12,130.15,慢,1
B1L06-1-18,快,B1-06-1-2.mp3,135.08,136.19,快,1
B1L06-1-19,說,B1-06-1-2.mp3,143.52,144.67,說,1
B1L06-1-20,說話,B1-06-1-2.mp3,151.98,153.44,說話,1
B1L06-2-01,電影,B1-06-2-2.mp3,4.8,6.4,電影,1
B1L06-2-02,部,B1-06-2-2.mp3,7.48,8.52,部,1
B1L06-2-03,電影院,B1-06-2-2.mp3,16.7,18.49,電影院,1
B1L06-2-04,有趣,B1-06-2-2.mp3,27.52,29.0,有趣,1
B1L06-2-05,覺得,B1-06-2-2.mp3,39.93,41.2,覺得,1
B1L06-2-06,有（一）點（兒）,B1-06-2-2.mp3,51.06,52.65,有一點兒,3
B1L06-2-07,休息,B1-06-2-2.mp3,70.97,72.7,休息,1
B1L06-2-08,上網,B1-06-2-2.mp3,82.12,83.75,上網,1
B1L06-2-09,電腦,B1-06-2-2.mp3,92.8,94.34,電腦,1
B1L06-2-10,手機,B1-06-2-2.mp3,102.0,103.64,手機,1
B1L06-2-11,支,B1-06-2-2.mp3,110.79,111.98,支,3
B1L06-2-12,應該,B1-06-2-2.mp3,115.48,117.06,應該,3
B1L06-2-13,運動,B1-06-2-2.mp3,126.31,127.83,運動,1
B1L06-2-14,可以,B1-06-2-2.mp3,137.2,138.84,可以,1
B1L06-2-15,騎,B1-06-2-2.mp3,150.08,151.41,騎,1
B1L06-2-16,腳踏車/自行車,B1-06-2-2.mp3,154.92,156.65,腳踏車,1
B1L06-2-17,輛,B1-06-2-2.mp3,160.65,161.75,亮,1
B1L06-2-18,只,B1-06-2-2.mp3,175.63,177.01,只,1
B1L06-2-19,後天,B1-06-2-2.mp3,186.71,188.23,後天,1
B1L06-2-20,前天,B1-06-2-2.mp3,197.64,199.22,前天,1
B1L06-2-21,聽說,B1-06-2-2.mp3,211.22,212.82,聽說,1
B1L06-2-22,不要,B1-06-2-2.mp3,215.93,217.39,不要,1
B1L06-3-01,興趣,B1-06-3-2.mp3,4.69,6.27,興趣,1
B1L06-3-02,幾,B1-06-3-2.mp3,18.74,19.97,幾,1
B1L06-3-03,學,B1-06-3-2.mp3,27.56,28.94,學,1
B1L06-3-04,學習,B1-06-3-2.mp3,29.92,31.65,學習,1
B1L06-3-05,唱歌,B1-06-3-2.mp3,39.97,41.43,唱歌,1
B1L06-3-06,歌,B1-06-3-2.mp3,42.44,43.5,歌,1
B1L06-3-07,首,B1-06-3-2.mp3,44.53,45.93,首,1
B1L06-3-08,跳舞,B1-06-3-2.mp3,56.39,57.98,跳舞,1
B1L06-3-09,畫畫,B1-06-3-2.mp3,63.12,64.62,畫畫,1
B1L06-3-10,畫,B1-06-3-2.mp3,73.74,74.81,畫,1
B1L06-3-11,平常,B1-06-3-2.mp3,84.9,86.38,平常,1
B1L06-3-12,有（的）時候,B1-06-3-2.mp3,96.47,98.39,有的時候,1
B1L06-3-13,比賽,B1-06-3-2.mp3,112.25,113.6,比賽,1
B1L06-3-14,真,B1-06-3-2.mp3,124.72,125.79,真,1
B1L06-3-15,高興,B1-06-3-2.mp3,132.95,134.29,高興,1
B1L07-1-01,怎麼,B1-07-1-2.mp3,4.54,5.81,怎麼,1
B1L07-1-02,到,B1-07-1-2.mp3,12.2,13.16,到,1
B1L07-1-03,飯店,B1-07-1-2.mp3,19.4,20.79,飯店,1
B1L07-1-04,旅館,B1-07-1-2.mp3,27.12,28.62,旅館,1
B1L07-1-05,找,B1-07-1-2.mp3,31.28,32.47,找,1
B1L07-1-06,韓國,B1-07-1-2.mp3,39.95,41.45,韓國,1
B1L07-1-07,到,B1-07-1-2.mp3,44.14,45.08,到,1
B1L07-1-08,等,B1-07-1-2.mp3,52.82,53.96,等,1
B1L07-1-09,坐,B1-07-1-2.mp3,62.21,63.27,坐,3
B1L07-1-10,捷運/地鐵,B1-07-1-2.mp3,66.12,67.39,捷運,1
B1L07-1-11,公共汽車/公車,B1-07-1-2.mp3,72.3,74.47,公共汽車,1
B1L07-1-12,車（子）/汽車,B1-07-1-2.mp3,82.94,84.21,車子,1
B1L07-1-13,計程車,B1-07-1-2.mp3,89.22,90.84,計程車,1
B1L07-1-14,火車,B1-07-1-2.mp3,91.65,93.05,火車,1
B1L07-1-15,上車,B1-07-1-2.mp3,93.92,95.25,上車,1
B1L07-1-16,下車,B1-07-1-2.mp3,96.16,97.64,下車,1
B1L07-1-17,遠,B1-07-1-2.mp3,104.4,105.61,遠,1
B1L07-1-18,近,B1-07-1-2.mp3,113.46,114.53,近,1
B1L07-1-19,想,B1-07-1-2.mp3,117.58,119.06,想,2
B1L07-1-20,從,B1-07-1-2.mp3,129.92,131.15,從,1
B1L07-1-21,走路,B1-07-1-2.mp3,138.8,140.11,走路,1
B1L07-1-22,走,B1-07-1-2.mp3,143.12,144.35,走,1
B1L07-1-23,先,B1-07-1-2.mp3,152.86,153.98,先,1
B1L07-1-24,地圖,B1-07-1-2.mp3,162.38,163.65,地圖,1
B1L07-1-25,錶/手錶,B1-07-1-2.mp3,174.12,175.29,錶,1
B1L07-1-26,了,B1-07-1-2.mp3,187.16,188.05,了,1
